,1,2,3,4,5,6,7,8,9,10
,斗鱼,熊猫TV,虎牙,战旗TV,龙珠,火猫,花椒,一直播,全民TV,触手TV
2018年06月12日（周二）,11139211,3505274,920773,2416902,521192,1236554,173219,274903,664265,219207
2018年06月13日（周三）,11241405,2973862,347972,2345366,494621,1165018,204900,254464,700033,214097
2018年06月14日（周四）,11343600,2871668,608568,2248281,484402,1088372,220229,236069,720472,214097
2018年06月15日（周五）,11037016,2820571,894202,2243171,494621,1093482,215119,230959,689813,186505
2018年06月16日（周六）,12467741,3372421,1615696,2207403,494621,1011726,199790,241179,664265,173731
2018年06月17日（周日）,11701281,3965150,2019365,2176744,489512,960629,189570,230959,648935,163511
2018年06月18日（周一）,11752378,4016247,2687206,2232951,484402,1047494,184972,205411,664265,153291
2018年06月19日（周二）,10372751,3954930,2932474,2166525,504841,1006616,164533,185994,638716,173730
2018年06月20日（周三）,9044222,4281953,3193581,2156305,501775,1037275,137962,160445,572289,173730
2018年06月21日（周四）,7715692,5406094,3224239,3433738,491556,1021946,127743,137962,512505,158401
2018年06月22日（周五）,6438259,6632429,3219129,4670293,476226,986178,127743,137962,487979,173730
2018年06月23日（周六）,4956438,8114251,2759254,6039700,455787,935080,132853,122633,457320,158401
2018年06月24日（周日）,4496562,9493878,2667279,7393779,460897,863544,153292,117523,441991,158401
2018年06月25日（周一）,4496562,10720213,2248281,8635443,455787,771569,143072,127743,400602,153291
2018年06月26日（周二）,4394367,12212254,2212513,10020180,440458,802227,158401,143072,395493,137962
2018年06月27日（周三）,4394367,13591881,2166525,11343600,424107,735801,158401,163511,380163,122633
2018年06月28日（周四）,4394367,13847368,2565084,11445795,405712,669374,148182,199279,404179,107304
2018年06月29日（周五）,4292173,14000660,2907436,11445795,373010,628496,143072,194169,413377,107304
2018年06月30日（周六）,4292173,13949562,2927875,11394697,367900,602948,153291,199279,394471,102194
2018年07月01日（周日）,4241075,14000660,2835900,11445795,337242,567180,148182,214608,379141,97084
2018年07月02日（周一）,4241075,14000660,2759254,11496892,306583,562070,143072,209499,394982,85843
2018年07月03日（周二）,4195088,14102854,2759254,11496892,290232,546741,137962,209499,410311,90953
2018年07月04日（周三）,4195088,14102854,2713266,11599086,309138,551851,148182,194169,446079,101172
2018年07月05日（周四）,4195088,14153951,2232952,11650184,302496,582509,148182,158401,421552,111391
2018年07月06日（周五）,4041796,14307243,1854832,11803476,316803,613167,143072,163511,452211,106282
2018年07月07日（周六）,3990699,14767119,2140976,11854573,311693,628496,117523,158401,527324,101172
2018年07月08日（周日）,3990699,15431384,2207403,11854573,347461,674484,112413,148182,588641,121611
2018年07月09日（周一）,3939601,15482481,2192074,11905670,366367,679594,117523,153291,598860,127743
2018年07月10日（周二）,3985589,15380287,2166525,11956767,364323,648935,127743,137962,624409,117523
2018年07月11日（周三）,3934492,15482481,2197183,11956767,376076,618277,127743,132852,649957,112413
2018年07月12日（周四）,3883394,15482481,2207403,11956767,390894,587618,127743,122633,700033,107304
2018年07月13日（周五）,3883394,15482481,2192074,12058962,445057,572289,137962,102194,700033,97084
2018年07月14日（周六）,3832297,15175898,1773076,12058962,434838,546741,143072,107304,689813,107304
2018年07月15日（周日）,3883394,14613827,1742417,12058962,404179,516082,153291,127743,700032,86865
2018年07月16日（周一）,3883394,14613827,1803734,12212254,389872,500753,168621,178840,715362,97084
2018年07月17日（周二）,3934492,14767119,2171635,12314448,389361,516082,158401,201834,668352,117523
2018年07月18日（周三）,3985589,14767119,2166525,12416643,384251,521192,163511,222273,663242,112413
2018年07月19日（周四）,4036686,14920411,2181854,12518838,358703,497687,173730,222273,653023,117523
2018年07月20日（周五）,4087783,14818216,2575303,12416643,307605,482358,178840,242712,608057,111391
2018年07月21日（周六）,4138881,14920411,2682608,12518838,338264,472139,168621,247822,592728,116501
2018年07月22日（周日）,4036686,15482481,2646840,12723227,389361,451700,168621,227383,500753,131830
2018年07月23日（周一）,3985589,15635773,2595742,12723227,410311,446590,153292,186505,500753,131830
2018年07月24日（周二）,3985589,15584676,2212513,12774324,429217,436370,148182,209499,517104,121611
2018年07月25日（周三）,3985589,15737968,2590633,12825421,423596,467029,132853,199279,461919,126721
2018年07月26日（周四）,4036686,15737968,2994301,12723227,438925,531411,137962,218696,456809,136940
2018年07月27日（周五）,4036686,15840162,2636620,12774324,423596,556960,127743,213586,466007,153291
2018年07月28日（周六）,4343270,15840162,2672388,12723227,386806,608057,132852,218696,403668,163511
2018年07月29日（周日）,4343270,15942357,2841009,12672129,356148,669374,122633,228916,418997,148182
2018年07月30日（周一）,4317721,16095649,2897216,12621032,361257,689813,127743,228916,381696,148182
2018年07月31日（周二）,4368819,16351135,2922765,12621032,330599,694923,143072,198257,391916,148182
2018年08月01日（周三）,5748446,16504427,2595742,12672129,336220,679594,158401,193148,385784,148182
2018年08月02日（周四）,5697348,16657719,2227842,12774324,356659,654045,153292,178840,396004,132852
2018年08月03日（周五）,5748446,16606622,2156305,12723227,351549,643826,158401,173730,395493,143072
2018年08月04日（周六）,5441862,17015400,2166525,12774324,347461,638716,168621,168621,447612,132852
2018年08月05日（周日）,5492959,16504427,2028562,12774324,352571,582509,168621,178840,447612,137962
2018年08月06日（周一）,5518508,16300038,1992794,12876519,347461,572290,168621,163511,459364,132852
2018年08月07日（周二）,5518508,16044551,2299378,12927616,364323,572290,163511,148182,403157,122633
2018年08月08日（周三）,4138881,15942357,2575303,13080908,364323,582509,153291,153291,418486,117523
2018年08月09日（周四）,4241075,15737968,2943204,12978713,335709,556960,153291,163511,387317,122633
2018年08月10日（周五）,4292173,15840162,3474616,12978713,351038,531412,153291,147671,376076,117523
2018年08月11日（周六）,4496562,15431384,3944711,12876519,345928,464474,153291,152780,360746,127743
2018年08月12日（周日）,4547659,15942357,3960040,12876519,345928,464474,173730,132341,386295,137962
2018年08月13日（周一）,7153621,16095649,4016247,12672130,336731,469584,168621,147671,396514,153292
2018年08月14日（周二）,8073373,15993454,3740322,12314449,324467,464474,168621,142561,498709,185994
2018年08月15日（周三）,8175567,15993454,3489945,11956767,304029,541120,173730,166066,539587,206433
2018年08月16日（周四）,8022276,16146746,3091386,11956767,322424,648424,158401,160956,586086,226872
2018年08月17日（周五）,7971178,16095649,2605962,11956767,324978,730180,153291,187016,613167,237091
2018年08月18日（周六）,7971178,16146746,2125647,11956767,381185,837995,153291,171687,628496,231982
